RMNYStat-ID,RMNY-BibliográfiaiHalmaz,RMNY-Sorszám,RMNY-Jel,Hely,Év,RMNYStat-C-Tulajdonos,RMNYStat-C-Őrzőhely,RMNYStat-C-Időpont,RMNYStat-Forrás,Forrás-Kötet,RMNYStat-Forrás-Oldalszám,RMNYStat-Forrás-Tételszám,RMNYStat-C-Megjegyzés,,,,,,,,,,
RMNY638,RMNY,638,,Basel,1590,Rákóczi-család,Sárospatak,1660,KKK,1,30,1,,,,,,,,,,,
RMNY652,RMNY,652,,Vizsoly,1590,Bethlen-kollégium,Nagyenyed,1762,KKK,10,10,,,,,,,,,,,,
RMNY652,RMNY,652,,Vizsoly,1590,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
RMNY652,RMNY,652,,Vizsoly,1590,Szegedi István,Kassa,1628,Adattár,15,22,,,,,,,,,,,,
RMNY652,RMNY,652,,Vizsoly,1590,Szegedi Mihály,Kassa,1632,Adattár,15,23,,,,,,,,,,,,
RMNY652,RMNY,652,,Vizsoly,1690,Várallyai István,Kassa,1646,Adattár,15,36,,,,,,,,,,,,
RMNY657,RMNY,657,,Debrecen,1591,Ceglédi Szabó Pál,Pápa,1649,KKK,9,416,,,,,,,,,,,,
RMNY671,RMNY,671,,Nagyszombat,1591,Batthyány Ádám,Németújvár,1651,KKK,4,205,,,,,,,,,,,,
RMNY697,RMNY,697,,Pozsony,1639,Rákóczi-család,Sárospatak,1660,KKK,1,164,638,,,,,,,,,,,
RMNY719,RMNY,719,,Kolozsvár,1593,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,218,,,,,,,,,,,,
RMNY733,RMNY,733,,Lövő,1593,Rákóczi-család,Sárospatak,1660,KKK,1,167,660,,,,,,,,,,,
RMNY747,RMNY,747,,Kolozsvár,1594,Batthyány Ádám,Németújvár,1654,KKK,4,242,,,,,,,,,,,,
RMNY765,RMNY,765,,Nagyszombat,1595,Rákóczi-család,Sárospatak,1660,KKK,1,162,629,,,,,,,,,,,
RMNY767,RMNY,767,,Venezia,1595,Batthyány Ádám,Németújvár,1642,KKK,4,153,,,,,,,,,,,,
RMNY781,RMNY,781,,Nagyszombat,1596,Rákóczi-család,Sárospatak,1660,KKK,1,160,617,,,,,,,,,,,
RMNY781,RMNY,781,,Nagyszombat,1596,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,217,,,,,,,,,,,,
RMNY781,RMNY,781,,Nagyszombat,1596,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,164,,,,,,,,,,,,
RMNY783,RMNY,783,,Nagyszombat,1596,Batthyány Ádám,Németújvár,1654,KKK,4,247,,,,,,,,,,,,
RMNY789,RMNY,789,,Bártfa,1597,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,275,,,,,,,,,,,,
RMNY790,RMNY,790,,Bártfa,1597,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,300,,,,,,,,,,,,
RMNY801,RMNY,801,,Debrecen,1597,Bethlen-kollégium,Nagyenyed,1762,KKK,10,352,,,,,,,,,,,,
RMNY813,RMNY,813,,Nagyszeben,1597,Bethlen-kollégium,Nagyenyed,1762,KKK,10,382,,,,,,,,,,,,
RMNY821,RMNY,821,,Bártfa,1598,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
RMNY822,RMNY,822,,Bártfa,1598,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
RMNY823,RMNY,823,,Bártfa,1598,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
RMNY823,RMNY,823,,Bártfa,1598,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,299,,,,,,,,,,,,
RMNY824,RMNY,824,,Bártfa,1598,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,302,,,,,,,,,,,,
RMNY828,RMNY,828,,Bártfa,1598,Ráday-család,Pécel,1730,KKK,7,220,,,,,,,,,,,,
RMNY830,RMNY,830,,Debrecen,1598,Rákóczi-család,Sárospatak,1660,KKK,1,157,596,,,,,,,,,,,
RMNY830,RMNY,830,,Debrecen,1598,Bethlen-kollégium,Nagyenyed,1762,KKK,10,70,,,,,,,,,,,,
RMNY830,RMNY,830,,Debrecen,1598,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
RMNY836,RMNY,836,,Kolozsvár,1598,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,67,,,,,,,,,,,,
RMNY846,RMNY,846,,Bártfa,1599,Bél Mátyás,Pozsony,1749,Adattár,13/5,99,,,,,,,,,,,,
RMNY846,RMNY,846,,Bártfa,1599,Radvánszky László,Sajókaza,1750,Adattár,13/5,184,,,,,,,,,,,,
RMNY846,RMNY,846,,Bártfa,1599,Református Kollégium,Debrecen,1738,Adattár,19/2,56,,,,,,,,,,,,
RMNY846,RMNY,846,,Bártfa,1599,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,307,,,,,,,,,,,,
RMNY850,RMNY,850,,Bártfa,1599,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
RMNY853,RMNY,853,,Bártfa,1599,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
RMNY854,RMNY,854,,Bártfa,1599,Ráday-család,Pécel,1730,KKK,7,218,,,,,,,,,,,,
