id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,13Lelöhely,13Lelöhely_count,15Olim,15Olim_count
ermk5397,RMNY,95,,Alba Iulia 2 – Budapest Acad 1 3 4 – Budapest Nat 1 3 – Budapest Ref 1 – Budapest Zsámár József 1 – Cluj Acad II 2* – Cluj Acad III 2* 2 (Torda) 3 3 – Cluj Univ 2* – Debrecen Ref 2* – Gyöngyös 2 2 – Miskolc Ev 2 – Nitra Dioec 1 – Oponice MS 2,20,"Rimaszombat, kishonti ev. esperesség",1
ermk5398,RMNY,96,,"Bratislava Acad 2* – Bratislava MS 2 – Budapest Acad 1 4 (Lugossy József) 4 – Budapest Nat 2* (Keszthely, Festetics) 2 4 – Budapest Univ 2 – Cluj Univ 2* – Debrecen Ref 2 – København Reg 1 – Košice Dioec 1",13,"Budapest, Nagy István – Szatmárnémeti, Schlauch Lőrinc",2
ermk5399,RMNY,97,,Budapest Nat 4,1,,0
ermk5400,RMNY,98,,Alba Iulia 1 – Cluj Univ 3* – Stuttgart 1,3,"Tibolddaróc, Fáy Alajos",1
ermk5401,RMNY,99,,Budapest Nat phot. – Wien Nat 1,1,,0
ermk5404,RMNY,100,,Budapest Nat 3* – Cluj Univ 4,2,"Lőcse, ev. gymn.",1
ermk5405,RMNY,101,,Budapest Nat phot. – Cluj Univ 4*,1,,0
ermk5406,RMNY,102,,Bratislava MS 2* (Alsósebes) – Budapest Acad 3 – Budapest Nat 2 + phot. suppl. (Bratislava MS) 4,4,"Budapest, Toldy Ferenc – Lőcse, ev. gymn.",2
ermk5407,RMNY,103,,Budapest Nat 2 4,2,"Budapest, Kornfeld Móric (Index ms)",1
ermk5410,RMNY,104,,Braşov Ev 1 – Budapest Nat 1 (RMK II 53) – Debrecen Ref 1,3,,0
ermk5412,RMNY,105,,Braşov Ev 1 (A-var.) – Budapest Acad 1 (B-var.; RMK II 34) 1 (A-var.) – Sighişoara 1 (A-var.),4,,0
ermk5413,RMNY,106,,Braşov Ev 1 – Budapest Nat phot.,1,,0
ermk5414,RMNY,107,,Budapest Nat phot. – Sighişoara 2*,1,,0
,RMNY,108,,Budapest Acad 3 + phot. (Cluj) – Budapest Nat phot. (Cluj) – Cluj Univ 4,2,,0
,RMNY,109,,Budapest Acad 2 3 – Budapest Nat 1 2* 3 – Cluj Univ 2 – Halle Univ 1 – Sárospatak Ref 2* – Wien Nat 1,9,"Budapest, Kornfeld Móric (Index ms) – Budapest, Nagy István (2 expl.) – Késmárk, ev. lyc. – Szatmárnémeti, Schlauch Lőrinc",5
ermk5418,RMNY,110,,Braşov Ev 1 1 2 – Budapest Nat 1,4,,0
ermk5419,RMNY,111,,Braşov Ev 1 1 – Budapest Nat 1,3,,0
ermk5420,RMNY,112,,,0,,0
ermk5422,RMNY,113,,,0,,0
ermk5423,RMNY,114,,,0,,0
ermk5424,RMNY,115,,Budapest Nat 1,1,,0
ermk5425,RMNY,116,Vacat!,,0,,0
ermk5427,RMNY,117,,Braşov Ev 1 – Budapest Nat phot.,1,,0
ermk5428,RMNY,118,,Braşov Ev 1 – Budapest Nat phot.,1,,0
ermk5429,RMNY,119,,Budapest Nat phot. – Tîrgu Mureş 2,1,,0
ermk5430,RMNY,120,,Braşov Ev 1 – Budapest Nat 1 1,3,,0
ermk5431,RMNY,121,,Braşov Ev 1 – Budapest Nat 1,2,,0
ermk5432,RMNY,122,,"Braşov Arch 1 (Brassó, ev. gymn.) – Budapest Nat 2* – Cluj Acad III 2 – Cluj Univ 1 – Debrecen Ref 1 (Máramarossziget, ref. lyc.) – Sibiu Mus 2* – Tîrgu Mureş 1",7,"Budapest, Akad.",1
ermk5434,RMNY,123,,Budapest Nat 1,1,,0
ermk5436,RMNY,124,,,0,,0
ermk5437,RMNY,125,,Budapest Acad 2*,1,,0
ermk5438,RMNY,126,,Budapest Nat phot. – Wien Nat 1,1,,0
ermk5439,RMNY,127,,Budapest Nat 1 – Debrecen Ref 1,2,,0
ermk5440,RMNY,128,,Budapest Nat 1 – Kraków Univ 1 – London BM O O O O O – CERL szerint 72 expl.,70,,0
