01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
473,,"Alba Iulia=1, Budapest=3, Eger=1, Esztergom=1, Kalocsa=1, London=1",Sátoraljaújhely
474,,"Alba Iulia=1, Betliar=1, Bratislava=5, Budapest=13, Cluj=3, Debrecen=2, Dolný Kubín=1, Eger=2, Gyöngyös=2, Győr=1, Jasov=1, Kalocsa=1, Keszthely=1, Košice=1, London=1, Nitra=1, Olomouc=1, Pannonhalma=1, Pécs=1, Sárospatak=1, Szeged=4, Székesfehérvár=1, Wrocław=1, Zagreb=1","Kolozsvár, Kolozsvár, Marosvásárhely, Pannonhalma, Rozsnyó, Szatmárnémeti, Zágráb"
475,,"Budapest=2, Cluj=1",
476,,"Budapest=8, Cluj=2, Dolný Kubín=1, Gyöngyös=3, Jasov=1, Zagreb=2",
477,,"Beograd=1, Bucureşti=4, Budapest=1, Cluj=1, Leningrad=1, Sibiu=3",Brassó
478,,,
479,,Martin=1,
480,,,
481,,Braşov=1,
482,,"Braşov=1, Bucureşti=7, Cluj=4, Sibiu=1",
483,,"Braşov=1, Cluj=2, Debrecen=1, Sibiu=1",
484,,London=1,
485,,London=1,
486,,"Bratislava=1, Budapest=1",
487,,Budapest=2,
488,,"Miercurea Ciuc=1",
489,,Cluj=1,
490,,"Budapest=5, Cluj=1","Budapest, Marosvásárhely, Szatmárnémeti"
491,,"Tîrgu Mureş=1",
492,,Budapest=2,
493,,"Budapest=1, Cluj=1, Debrecen=1",Budapest
494,,Budapest=1,Budapest
495,,,
496,,"Budapest=3, Cluj=1, Gyöngyös=1",Budapest
497,,"Budapest=1, London=1",
498,,"Paris=1, Sibiu=1",
499,,Budapest=1,
500,,Budapest=2,
501,,"Budapest=1, London=1",
502,,Budapest=1,
503,,,Körmend
504,,Cluj=2,
505,,,Budapest
506,,Budapest=1,Sárospatak
507,,London=1,
508,,Budapest=1,
509,,London=1,
510,,Budapest=2,Budapest
511,,London=1,
512,,London=1,
513,,"Bratislava=1, Budapest=4, Nitra=1, Olomouc=1, Pápa=1, Tîrgu-Mureş=1",Budapest
514,,Budapest=1,
515,,,
516,,"Tîrgu Mureş=1",
517,,"Tîrgu Mureş=1",
518,,Güssing=1,
519,,"Alba Iulia=1, Bucureşti=4, Budapest=1, Cluj=1",
520,,"Budapest=1, Cluj=2",
521,,"Budapest=1, Sopron=1",
522,,"Leningrad=1, Moskva=1, Sofija=1",Hilandar
523,,"Braşov=6, Budapest=10, Cluj=2, Debrecen=1, Mediaş=1, Sibiu=11, Sighişoara=3, Tîrgu Mureş=1, Washington=1, Wien=1","Marosvásárhely, Sepsiszentgyörgy"
524,,"Braşov=6, Bratislava=1, Budapest=9, Cluj=4, Debrecen=1, Mediaş=1, Sibiu=9, Sighişoara=3, Tîrgu Mureş=1",Marosvásárhely
525,,"Budapest=5, Cluj=2, Debrecen=3, Hódmezővásárhely=1, Kecskemét=1, Pannonhalma=1, Pápa=1, Sárospatak=1, Szeged=1, Zalău=1","Budapest, Marosvásárhely, Sepsiszentgyörgy"
526,,London=1,
527,,Sighişoara=1,Kolozsvár
528,,"Budapest=4, Debrecen=1, Esztergom=1, Pécs=1, Spišská Nová Ves=1","Budapest, Csíksomlyó, Eger"
529,,Roma=1,
530,,Trnava=3,
531,,Budapest=3,Budapest
532,,"Budapest=1, Güssing=1",
533,,Güssing=1,
534,,"Güssing=1, Rožnava=1",
535,,,Körmend
536,,Göttingen=1,Németújvár
537,,Sopron=1,
538,,"Budapest=5, Cluj=1, ’s-Gravenhage=1, Leiden=1, London=2, München=1, Székesfehérvár=1, Tîrgu Mureş=1, Washington=1, Wien=1",
539,,"Budapest=7, Cluj=2, Debrecen=1, Pápa=1, Zalău=1","Budapest, Csurgó, Debrecen, Sárospatak"
540,,Budapest=1,
541,,"Bratislava=6, Bucureşti=1, Budapest=10, Cluj=2, Debrecen=2, Esztergom=1, Martin=1, Oponice=3, Sárospatak=1, Tata=1, Tîrgu Mureş=2","Csetnek, Késmárk, Nagyenyed"
542,,Budapest=1,
543,,,
544,,"Budapest=2, Tîrgu Mureş=3",
545,,"Tîrgu Mureş=1",
