id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
ermk5619,RMNY,251,,"Cluj=2, Tîrgu Mureş=1, Wien=1",
ermk5620,RMNY,252,,"Alba Iulia=1, Braşov=1, Budapest=3, Cambridge=1, Cluj=2, Sibiu=1, Tîrgu Mureş=2, Warszawa=1, Wien=1",Budapest
ermk5621,RMNY,253,,"Cluj=1, Sárospatak=1, Stockholm=1, Tîrgu Mureş=1",Kolozsvár
,RMNY,254,,"Budapest=2, Cambridge=2, Cluj=6, Dresden=1, Groeningen=1, London=1, Oxford=2, Paris=1, Sárospatak=1, Sibiu=2, Strängnäs=1, Tirgu=3, Utrecht=1, Wien=1, Wrocław=1, Zürich=2",Budapest
ermk5624,RMNY,255,,Budapest=10,
ermk5625,RMNY,256,,"Braşov=1, Budapest=3, Cluj=5, Güssing=1, Sibiu=1, Sighişoara=1, Strängnäs=1, Tîrgu Mureş=1, Wolfenbüttel=1",Kolozsvár
ermk5626,RMNY,257,,,
ermk5627,RMNY,258,,,
ermk5628,RMNY,259,,"Alba Iulia=1, Budapest=9, Cluj=2, Csurgó=1, Debrecen=2, Keszthely=1, London=1, Miskolc=1, Sárospatak=1","Budapest, Rozsnyó, Budapest"
ermk5631,RMNY,260,,Budapest=1,
ermk5633,RMNY,261,,"Braşov=1, Cluj=1",Bucureşti
ermk5634,RMNY,262,,"Braşov=1, Sibiu=1",
ermk5635,RMNY,263,,,
,RMNY,264,,Wroclaw=1,
ermk5637,RMNY,265,,Budapest=1,
ermk5639,RMNY,266,,,
ermk5641,RMNY,267,Vacat!,,
ermk5642,RMNY,268,,,
ermk5643,RMNY,269,,"Alba Iulia=1, Budapest=2, Cluj=4, London=1, Tîrgu Mureş=2",Torda
ermk5644,RMNY,270,,"Aiud=1, Alba Iulia=1, Budapest=2, Cluj=5, Güssing=1, Kalocsa=1, London=1, Oxford=1, Tîrgu Mureş=2, Warszava=1","Székelykeresztúr, Torda"
ermk5646,RMNY,271,,,Brassó
ermk5650,RMNY,272,,"Alba Iulia=1, Cluj=2, Kraków=1, Oxford=1, Sibiu=1, Tîrgu Mureş=1",
ermk5652,RMNY,273,,,
ermk5656,RMNY,274,,Sibiu=1,
ermk5657,RMNY,275,,Bucureşti=2,"Chernivtsi, Sibiu"
,RMNY,276,,Budapest=1,
ermk5661,RMNY,277,,Csíkszereda=1,"Budapest, Sárospatak"
ermk5662,RMNY,278,,Debrecen=1,
ermk5663,RMNY,279,,"Cluj=1, Debrecen=1, London=1, Sárospatak=1, Stockholm=1","Budapest, Szatmárnémeti"
ermk5665,RMNY,280,,Budapest=1,
ermk5668,RMNY,281,,,
ermk5674,RMNY,282,,,
ermk5675,RMNY,283,,,
ermk5676,RMNY,284,,"Budapest=4, Cluj=2",
ermk5677,RMNY,285,,"Budapest=2, Cluj=2, London=1, Sibiu=1",
ermk5678,RMNY,286,,"Budapest=1, Cluj=2, Stockholm=1, Tîrgu Mureş=1",
ermk5679,RMNY,287,,"Budapest=1, Cluj=2, Güssing=1, Sibiu=2, Sighişoara=1, Tîrgu Mureş=1",Kalocsa
ermk5680,RMNY,288,,Budapest=1,
ermk5681,RMNY,289,,Cluj=1,
ermk5682,RMNY,290,,Cluj=1,
ermk5683,RMNY,291,,"Cluj=2, Miercurea Ciuc=1, Sibiu=2, Sighişoara=1, Tîrgu Mureş=1",
ermk5686,RMNY,292,,Budapest=2,
ermk5688,RMNY,293,,,
ermk5690,RMNY,294,,Budapest=1,Budapest
ermk5691,RMNY,295,,Budapest=2,Tibolddaróc
ermk5694,RMNY,296,,Budapest=1,
ermk5695,RMNY,297,,Budapest=1,Budapest
ermk5696,RMNY,298,,Budapest=1,
ermk5697,RMNY,299,,Budapest=2,
ermk5699,RMNY,300,,Genève=1,
ermk5700,RMNY,301,,Cluj=1,
ermk5702,RMNY,302,,,
ermk5703,RMNY,303,,Budapest=1,
ermk5704,RMNY,304,,"Alba Iulia=1, Budapest=4, Cluj=2, Sibiu=2, Stockholm=1, Tîrgu Mureş=1",
ermk5705,RMNY,305,,Cluj=1,
ermk5706,RMNY,306,,"Debrecen=1, Sibiu=1, Tîrgu Mureş=1",
ermk5707,RMNY,307,,"Alba Iulia=1, Betliar=1, Bucureşti=1, Budapest=8, Cluj=6, Debrecen=2, Greifswald=1, Keszthely=1, London=1, Miercurea Ciuc=1, Odorhei=1, Pécs=1, Sárospatak=3, Sibiu=3, Strängnäs=1, Szeged=1, Tîrgu Mureş=3, Zalău=1, Zirc=1","Budapest, Eger, Marosvásárhely"
ermk5710,RMNY,308,,,
ermk5714,RMNY,309,,Bucureşti=1,
ermk5715,RMNY,310,,,Fălciu
ermk5716,RMNY,311,,Budapest=1,
ermk5717,RMNY,312,,Cluj=1,
ermk5719,RMNY,313,,Budapest=1,
ermk5720,RMNY,314,,Budapest=1,
ermk5721,RMNY,315,,Budapest=1,
ermk5722,RMNY,316,,,Budapest
ermk5723,RMNY,317,,"Alba Iulia=1, Braşov=2, Budapest=8, Cluj=5, Debrecen=1, Dolný Kubín=1, Miercurea Ciuc=1, Nitra=1, Odorhei=1, Pannonhalma=1, Sárospatak=1, Sibiu=8, Strängnäs=1, Szeged=1, Tîrgu Mureş=1, Zalău=1, Zagreb=1",Sepsiszentgyörgy
ermk5724,RMNY,318,,"Sárospatak,=1",
ermk5726,RMNY,319,,Budapest=1,
ermk5727,RMNY,320,,Budapest=1,
ermk5728,RMNY,321,,,
ermk5729,RMNY,322,,Budapest=2,
ermk5730,RMNY,323,,Budapest=1,"Budapest, Tibolddaróc"
ermk5732,RMNY,324,,Cluj=1,
ermk5733,RMNY,325,,,Brassó
ermk5734,RMNY,326,,,"Budapest, Budapest"
ermk5735,RMNY,327,,"Aiud=1, Budapest=6, Cluj=1, London=1, Tîrgu Mureş=1","Budapest, Kolozsvár, Marosvásárhely"
ermk5737,RMNY,328,,"Budapest=1, Debrecen=1",
ermk5739,RMNY,329,,,
ermk5740,RMNY,330,Vacat!,,
ermk5741,RMNY,331,,,
ermk5743,RMNY,332,Vacat!,,
