RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-ID,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
RMNY-C-3539,,3539,egyedi,eredeti,RMNY815,Kežmarok,Ev,1,,,,,,,
RMNY-C-3540,,3540,egyedi,eredeti,RMNY815,Nyírkáta,Oláh Béla,2,,,,,,,
RMNY-C-3541,,3541,egyedi,eredeti,RMNY815,Sárospatak,Ref,2,,,,,,,
RMNY-C-3542,,3542,egyedi,eredeti,RMNY815,Sibiu,Arch,2,,,,,,,
RMNY-C-3543,,3543,egyedi,eredeti,RMNY815,Tîrgu Mureş,,2,,,,,,,
RMNY-C-3544,,3544,egyedi,eredeti,RMNY816,Budapest,Univ,1,,,,,,,
RMNY-C-3545,,3545,egyedi,eredeti,RMNY817,Budapest,Nat,1,,,,,,,
RMNY-C-3546,,3546,egyedi,eredeti,RMNY817,Budapest,Nat,1,,,,,,,
RMNY-C-3547,,3547,egyedi,eredeti,RMNY817,Martin,MS,1,,,,,,,
RMNY-C-3548,,3548,egyedi,phot.,RMNY818,Budapest,Acad,phot.,,,,,,,
RMNY-C-3549,,3549,egyedi,eredeti,RMNY818,Cluj,Acad II,1,,,,,,,
RMNY-C-3550,,3550,egyedi,eredeti,RMNY819,Budapest,Univ,1,,,,,,,
RMNY-C-3551,,3551,egyedi,eredeti,RMNY819,Martin,MS,1,,,,,,,
RMNY-C-3552,,3552,egyedi,eredeti,RMNY820,Budapest,Nat,1,,,,,,,
RMNY-C-3553,,3553,egyedi,eredeti,RMNY821,Budapest,Acad,1,,,,,,,
RMNY-C-3554,,3554,egyedi,eredeti,RMNY821,Budapest,Nat,1,,,,,,,
RMNY-C-3555,,3555,egyedi,eredeti,RMNY821,Revúca,Ev,1,,,,,,,
RMNY-C-3556,,3556,egyedi,eredeti,RMNY822,Budapest,Nat,1,,,,,,,
RMNY-C-3557,,3557,egyedi,eredeti,RMNY823,Budapest,Ev,1,,,,,,,
RMNY-C-3558,,3558,egyedi,phot.,RMNY823,Budapest,Nat,phot.,,,"(Budapest, Ev)",,,,
RMNY-C-3559,,3559,egyedi,eredeti,RMNY823,Kežmarok,Ev,1,,,,,,,
RMNY-C-3560,,3560,egyedi,eredeti,RMNY823,Revúca,Ev,1,,,,,,,
RMNY-C-3561,,3561,egyedi,eredeti,RMNY824,Budapest,Acad,2,*,,,,,,
RMNY-C-3562,,3562,egyedi,eredeti,RMNY824,Budapest,Ev,2,*,,,,,,
RMNY-C-3563,,3563,egyedi,eredeti,RMNY824,Budapest,Nat,1,,,,,,,
RMNY-C-3564,,3564,egyedi,eredeti,RMNY824,Levoča,Ev,1,,,,,,,
RMNY-C-3565,,3565,egyedi,phot.,RMNY825,Budapest,Nat,phot.,,,,,partim,,
RMNY-C-3566,,3566,egyedi,eredeti,RMNY825,Martin,MS,1,,,,,,,
RMNY-C-3567,,3567,egyedi,phot.,RMNY826,Budapest,Acad,phot.,,,(Debrecen),,,,
