RMNY,Hely,Év,Proveniencia,Őrzőhely,Időpont,Forrás,Kötet,Szám,,,,,,,,,,,,
549,Nagyszombat,1584,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,247,,,,,,,,,,,,
552,Németújvár,1584,Dudith András,Wrocław,1589,Adattár,12/2,149,,,,,,,,,,,,
576,Bártfa,1586,Dudith András,Wrocław,1589,Adattár,12/3,151,,,,,,,,,,,,
584,Debrecen,1586,Bethlen-kollégium,Nagyenyed,1762,KKK,10,62,,,,,,,,,,,,
584,Debrecen,1586,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
595,Debrecen,1587,Bethlen-kollégium,Nagyenyed,1762,KKK,10,69,,,,,,,,,,,,
595,Debrecen,1587,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
620,Nagyszombat,1588,Rákóczi-család,Sárospatak,1660,KKK,1,159,,,,,,,,,,,,
632,Nagyszombat,1589,Rákóczi-család,Sárospatak,1660,KKK,1,159,,,,,,,,,,,,
632,Nagyszombat,1589,Bethlen-kollégium,Nagyenyed,1762,KKK,10,100,,,,,,,,,,,,
633,Nagyszombat,1589,Rákóczi-család,Sárospatak,1660,KKK,1,146,,,,,,,,,,,,
633,Nagyszombat,1589,Rákóczi-család,Sárospatak,1660,KKK,1,157,,,,,,,,,,,,
633,Nagyszombat,1589,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,262,,,,,,,,,,,,
633,Nagyszombat,1589,Jezsuita rendház,Pozsony,1663,Adattár,17/1,210,,,,,,,,,,,,
633,Nagyszombat,1589,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,281,,,,,,,,,,,,
635,Vizsoly,1590,Szirmay András,Zemplén vármegye,1707,Adattár,13/1,168,,,,,,,,,,,,
638,Basel,1590,Rákóczi-család,Sárospatak,1660,KKK,1,30,,,,,,,,,,,,
652,Vizsoly,1590,Bethlen-kollégium,Nagyenyed,1762,KKK,10,10,,,,,,,,,,,,
652,Vizsoly,1590,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
652,Vizsoly,1590,Szegedi István,Kassa,1628,Adattár,15,22,,,,,,,,,,,,
652,Vizsoly,1590,Szegedi Mihály,Kassa,1632,Adattár,15,23,,,,,,,,,,,,
652,Vizsoly,1690,Várallyai István,Kassa,1646,Adattár,15,36,,,,,,,,,,,,
657,Debrecen,1591,Ceglédi Szabó Pál,Pápa,1649,KKK,9,416,,,,,,,,,,,,
666,Wien,1637,Rákóczi-család,Sárospatak,1660,KKK,1,164,,,,,,,,,,,,
671,Nagyszombat,1591,Batthyány Ádám,Németújvár,1651,KKK,4,205,,,,,,,,,,,,
697,Pozsony,1639,Rákóczi-család,Sárospatak,1660,KKK,1,164,,,,,,,,,,,,
719,Kolozsvár,1593,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,218,,,,,,,,,,,,
733,Lövő,1593,Rákóczi-család,Sárospatak,1660,KKK,1,167,,,,,,,,,,,,
747,Kolozsvár,1594,Batthyány Ádám,Németújvár,1654,KKK,4,242,,,,,,,,,,,,
765,Nagyszombat,1595,Rákóczi-család,Sárospatak,1660,KKK,1,162,,,,,,,,,,,,
767,Venezia,1595,Batthyány Ádám,Németújvár,1642,KKK,4,153,,,,,,,,,,,,
781,Nagyszombat,1596,Rákóczi-család,Sárospatak,1660,KKK,1,160,,,,,,,,,,,,
781,Nagyszombat,1596,Váradi Székeskáptalan,Nagyvárad,1779,KKK,5,217,,,,,,,,,,,,
781,Nagyszombat,1596,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,164,,,,,,,,,,,,
783,Nagyszombat,1596,Batthyány Ádám,Németújvár,1654,KKK,4,247,,,,,,,,,,,,
789,Bártfa,1597,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,275,,,,,,,,,,,,
790,Bártfa,1597,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,300,,,,,,,,,,,,
801,Debrecen,1597,Bethlen-kollégium,Nagyenyed,1762,KKK,10,352,,,,,,,,,,,,
